Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2025-04-01 00:00:00,12,28.0,2.6,26.0,2.6,-9999.0,1.0,4.8241,1.0,15.3435,1.0,20.1676,1.0,-9999.0,1.0,-9999.0,1.0,0.771476,2.1,-9999.0,1.0,43.087,1.0,92.055,1.0,640.731,1.0,0.09,1.0,-9999.0,1.0,19.541,1.0,0.297,1.0
2025-04-01 01:00:00,12,23.0,1.0,30.0,1.0,-9999.0,1.0,0.9927,1.0,14.8252,1.0,15.8179,1.0,-9999.0,1.0,-9999.0,1.0,1.01329,2.5,-9999.0,1.0,282.306,1.0,93.724,1.0,640.136,1.0,0.09,1.0,-9999.0,1.0,18.957,1.0,0.035,1.0
2025-04-01 02:00:00,12,22.0,1.0,30.0,1.0,-9999.0,1.0,-1.2202,3.0,14.6301,2.6,13.4099,2.6,-9999.0,1.0,-9999.0,1.0,0.90944,2.5,-9999.0,1.0,210.204,1.0,94.624,1.0,639.829,1.0,0.05,1.0,-9999.0,1.0,19.0,1.0,0.143,1.0
2025-04-01 03:00:00,12,20.0,1.0,27.0,1.0,-9999.0,1.0,2.2491,1.0,18.5974,1.0,20.8466,1.0,-9999.0,1.0,-9999.0,1.0,0.965902,2.5,-9999.0,1.0,216.785,1.0,94.622,1.0,639.657,1.0,0.02,1.0,-9999.0,1.0,18.893,1.0,0.208,1.0
2025-04-01 04:00:00,12,26.0,1.0,28.0,1.0,-9999.0,1.0,4.4929,1.0,19.7516,1.0,24.2445,1.0,-9999.0,1.0,-9999.0,1.0,1.00446,2.5,-9999.0,1.0,212.151,1.0,94.698,1.0,639.545,1.0,0.91,1.0,-9999.0,1.0,18.613,1.0,0.405,1.0
2025-04-01 05:00:00,12,22.0,2.6,18.0,2.6,-9999.0,1.0,-0.7878,3.0,10.3367,2.6,9.5489,2.6,-9999.0,1.0,-9999.0,1.0,0.90517,2.5,-9999.0,1.0,194.143,1.0,98.19,1.0,639.451,1.0,0.08,1.0,-9999.0,1.0,17.888,1.0,0.318,1.0
2025-04-01 06:00:00,12,17.0,1.0,28.0,1.0,-9999.0,1.0,2.733,2.1,14.1808,1.0,16.9138,2.1,-9999.0,1.0,-9999.0,1.0,0.93164,2.5,-9999.0,1.0,191.302,1.0,97.588,1.0,640.165,1.0,0.0,1.0,-9999.0,1.0,18.009,1.0,0.041,1.0
2025-04-01 07:00:00,12,30.0,1.0,40.0,1.0,-9999.0,1.0,32.5649,1.0,24.9168,1.0,57.4817,1.0,-9999.0,1.0,-9999.0,1.0,1.19176,2.5,-9999.0,1.0,57.285,1.0,92.083,1.0,640.765,1.0,0.0,1.0,-9999.0,1.0,19.627,1.0,0.21,1.0
2025-04-01 08:00:00,12,38.0,1.0,56.0,1.0,-9999.0,1.0,41.3459,1.0,23.3387,1.0,64.6846,1.0,-9999.0,1.0,-9999.0,1.0,2.21125,2.5,-9999.0,1.0,71.525,1.0,82.432,1.0,640.995,1.0,0.0,1.0,-9999.0,1.0,21.764,1.0,0.153,1.0
2025-04-01 09:00:00,12,40.0,1.0,51.0,1.0,-9999.0,1.0,34.2926,1.0,26.8126,1.0,61.1052,1.0,-9999.0,1.0,-9999.0,1.0,3.24021,2.5,-9999.0,1.0,31.655,1.0,74.402,1.0,640.95,1.0,0.0,1.0,-9999.0,1.0,23.305,1.0,0.491,1.0
2025-04-01 10:00:00,12,39.0,1.0,46.0,1.0,-9999.0,1.0,22.7343,1.0,20.4053,1.0,43.1396,1.0,-9999.0,1.0,-9999.0,1.0,3.00255,2.5,-9999.0,1.0,24.036,1.0,63.614,1.0,640.507,1.0,0.0,1.0,-9999.0,1.0,25.553,1.0,0.59,1.0
2025-04-01 11:00:00,12,32.0,1.0,39.0,1.0,-9999.0,1.0,15.7966,1.0,20.0188,1.0,35.8153,1.0,-9999.0,1.0,-9999.0,1.0,1.70729,2.5,-9999.0,1.0,27.702,1.0,59.443,1.0,639.984,1.0,0.0,1.0,-9999.0,1.0,26.84,1.0,0.61,1.0
2025-04-01 12:00:00,12,34.0,1.0,40.0,1.0,-9999.0,1.0,9.3777,1.0,19.6557,1.0,29.0334,1.0,-9999.0,1.0,-9999.0,1.0,1.30124,2.5,-9999.0,1.0,25.824,1.0,55.873,1.0,639.219,1.0,0.0,1.0,-9999.0,1.0,28.042,1.0,0.813,1.0
2025-04-01 13:00:00,12,24.0,1.0,51.0,1.0,-9999.0,1.0,14.8962,1.0,19.7711,1.0,34.6673,1.0,-9999.0,1.0,-9999.0,1.0,1.70487,2.5,-9999.0,1.0,23.365,1.0,54.589,1.0,638.29,1.0,0.0,1.0,-9999.0,1.0,29.037,1.0,0.853,1.0
2025-04-01 14:00:00,12,30.0,1.0,53.0,1.0,-9999.0,1.0,10.5122,1.0,17.0115,1.0,27.5236,1.0,-9999.0,1.0,-9999.0,1.0,1.56798,2.5,-9999.0,1.0,21.146,1.0,56.279,1.0,637.56,1.0,0.0,1.0,-9999.0,1.0,29.172,1.0,0.824,1.0
2025-04-01 15:00:00,12,31.0,1.0,46.0,1.0,-9999.0,1.0,12.6483,1.0,18.0773,1.0,30.7256,1.0,-9999.0,1.0,-9999.0,1.0,1.72294,2.5,-9999.0,1.0,16.479,1.0,61.544,1.0,637.16,1.0,0.11,1.0,-9999.0,1.0,27.67,1.0,0.377,1.0
